id,x,y,time,height,totalSeeds,seedA,seedB,seedC,seedD
C,1596734.074,572799.1504,24,5,10,0,0,8,2
C,1596620.892,572727.5623,24,3,14,0,0,11,3
C,1596686.506,572702.8818,24,5,18,0,0,14,4
C,1596657.502,572853.0195,24,6,15,0,0,12,3
C,1596678.093,572777.0407,29,2,15,0,0,12,3
C,1596732.512,572803.0408,31,3,20,0,1,15,4
C,1596699.128,572798.766,31,5,16,0,1,12,3
C,1596646.673,572870.4864,31,4,21,0,1,16,4
C,1596698.913,572818.3034,31,1,19,0,0,15,4
C,1596649.905,572852.936,32,6,19,0,0,15,4
C,1596652.343,572907.6744,32,1,22,0,0,17,5
C,1596751.34,572887.2696,32,4,21,0,1,16,4
C,1596623.845,572735.4105,34,5,23,0,0,18,5
C,1596703.852,572921.9188,34,4,24,0,0,19,5
C,1596656.45,572948.7533,35,5,23,0,0,18,5
C,1596589.344,572832.7304,35,3,29,0,1,22,6
C,1596642.18,572864.5751,35,3,9,0,0,7,2
C,1596648.536,572839.243,38,5,23,0,0,18,5
C,1596521.352,572935.5444,38,5,27,0,0,21,6
C,1596646.415,572893.9314,45,4,12,0,0,9,3
C,1596691.058,572841.6648,45,4,18,0,0,14,4
C,1596630.432,572827.3202,45,3,30,0,1,23,6
C,1596563.514,572832.4464,45,2,20,0,1,15,4
C,1596581.704,572836.5544,45,1,14,0,0,11,3
C,1596589.494,572819.0541,45,4,24,0,0,19,5
C,1596618.685,572790.0654,45,2,23,0,0,18,5
C,1596670.324,572792.587,48,1,8,0,0,6,2
C,1596565.071,572967.2884,48,5,17,0,0,13,4
C,1596562.956,572883.2439,52,5,22,0,0,17,5
C,1596596.984,572828.9063,52,3,19,0,0,15,4
C,1596471.088,572807.9828,52,1,14,0,0,11,3
C,1596727.266,572865.5109,52,4,21,0,1,16,4
